DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,BENAMARIAS,,Explotación,ESTADO,R. LOPEZ GLEZ.(RTO),A,31-12-1972,01-01-1982,0243980,4717002,Riego                                             -  -,-  -,,"3,600","0,370","544,000","40,370",,Materiales sueltos homogenea,"18,000","263,500","998,330","980,330","982,270","100,040",001,"0,000 -",001,"19,650 -","No, Labio fijo -",,SALGUIRAL,MAGAZ DE CEPEDA,DUERO
,BENIARRES,,Explotación,ESTADO,J. ELIO (1º FASE) / R. DONAT(2ª FASE),A,01-04-1958,--,0729605,4299796,Riego                                             -  -,-  -,,"470,000","80,000","650,000","1000,000",,Gravedad,"53,000","395,300","320,650","267,650","281,650","98,700",001,"56,000 -",001,"1050,000 -",Compuerta segm -,,SERPIS,BENIARRES,JÚCAR
,"BOLERA, LA",,Explotación,ESTADO,A. MORENO TORRES,A,31-12-1967,--,0508720,4179585,Abastecimiento                                    -  - Riego,-  -,,"163,000","0,000","0,000","600,000",,Gravedad,"48,000","108,000","973,000","925,000","935,000","36,630",001,"34,000 -",001,"500,000 -",Compuertas. -,,GUADALENTÍN,POZO ALCON,GUADALQUIVIR
,BORBOLLON,,Explotación,ESTADO,R. CATENA - J. CANADELL,A,31-12-1954,--,0194910,4447965,Hidroeléctrico                                    -  - Riego,-  -,,"340,000","171,000","1235,000","733,000",,Gravedad,"35,000","225,000","315,050","280,050","291,050","79,800",001,"0,000 -",001,"844,000 -",Compuertas. -,,ARRAGO,SANTIBAÑEZ EL ALTO,TAJO
,BORBOLLON (DERIVACION) - ARRAGO,,Explotación,ESTADO,J. CANADELL,A,01-01-1954,--,0193425,4446810,Riego                                             -  -,-  -,,"340,000","171,000","1235,000","733,000",,Gravedad,"17,000","178,000","295,750","285,750","285,750","20,130",000,-,001,"900,000 -",Compuertas. -,,ARRAGO,SANTIBAÑEZ EL ALTO,TAJO
,BORNOS,,Explotación,JUNTA DE ANDALUCÍA,V-CAMPOS GUERETA,A,01-01-1961,--,0253744,4075482,Hidroeléctrico                                    -  - Riego,-  -,,"1344,000","0,000","0,000","1400,000",,Gravedad,"59,100","164,100","108,500","49,400","63,500","133,000",002,"30,200 - 16,020",001,"1400,000 -",Compuertas. -,,GUADALETE,BORNOS,C. ATLÁNTICA ANDALUZA
,"BOYERIL 2, EL",,Explotación,MARIANO LOPEZ RODRIGUEZ,E-RODRIGUEZ,B,01-01-1965,--,0274235,4419290,Riego                                             -  -,-  -,,"12,000","0,000","225,000","117,000",,Gravedad,"9,000","62,100","273,000","264,000","266,700","0,000",001,"0,000 -",001,"12,000 -","No, Labio fijo -",,ARROYO MANCO,CASATEJADA,TAJO
,BREMUDO (ARROYO),,Explotación,BALTASAR TAPIA VICENTE,E. GLEZ. ZAMORA,,01-01-1974,--,0288391,4434190,Riego                                             -  -,-  -,,"0,000","0,000","0,000","9,000",,Materiales sueltos homogenea,"6,350","340,000","421,250","414,900","415,900","13,550",000,-,001,"9,000 -","No, Labio fijo -",,BREMUDO,MONROY,TAJO
,BREMUDO (ARROYO) (DIQUE DEL COLLADO),,Explotación,BALTASAR TAPIA VICENTE,E. GLEZ. ZAMORA,,01-01-1974,--,0288391,4434190,Riego                                             -  -,-  -,,"0,000","0,000","0,000","9,000",,Materiales sueltos homogenea,"3,250","297,000","421,250","418,000","418,800","6,960",000,-,000,-,-,,BREMUDO,MONROY,TAJO
,BROVALES,,Explotación,JUNTA DE EXTREMADURA,G-VALERO,,01-01-1960,--,0176798,4251307,Riego                                             -  -,-  -,,"203,000","0,000","0,000","0,000",,Contrafuertes,"25,000","503,000","305,300","280,300","288,000","17,840",000,-,001,"646,000 -",Compuertas. -,,BROVALES,JEREZ DE LOS CABALLEROS,GUADIANA
,CABO VERDE,,Explotación,CDAD. EMBALSES MOYA,J-ALONSO URQUIJO,,01-01-1960,--,-741364,3176969,Riego                                             -  -,-  -,,"0,720","0,000","0,000","0,000",,Gravedad,"15,000","99,000","195,000","180,000","180,000","7,650",000,-,000,-,-,,LOMO BLANCO,MOYA,LAS PALMAS
,"CAIDERILLOS, LOS",,Explotación,J. GONZALEZ ROMERO,J-HERNANDEZ RAMOS,,01-01-1945,--,-740694,3176302,Riego                                             -  -,-  -,,"0,990","0,000","0,000","0,000",,Gravedad,"21,000","90,000","270,000","249,000","250,000","10,000",000,-,000,-,-,,CAIDERILLOS,MOYA,LAS PALMAS
,CAIDERO DE LA NIÑA,,Explotación,COMUNIDAD DE REGANTES DE ALDEA S. NICOLAS,LUIS DE CASA CALZADA,,01-01-1957,--,-758260,3161560,Riego                                             -  -,-  -,,"103,510","1,000","255,000","717,000",,Gravedad,"62,000","124,000","206,000","144,000","160,000","77,580",000,-,001,"716,000 -","No, Labio fijo -",,BARRANCO ALDEA,ARTENARA,LAS PALMAS
,CALABOZO,,Explotación,F. HERNANDEZ SUAREZ,,,01-01-1952,--,-744664,3175928,Riego                                             -  -,-  -,,"3,460","0,000","0,000","0,000",,Gravedad,"30,000","75,000","421,000","391,000","391,000","45,000",000,-,001,"1,790 -","No, Labio fijo -",,BARRANCO CALABOZO,GUIA DE GRAN CANARIA,LAS PALMAS
,"CALLEJON, EL",,Explotación,SDAD. REPRESAS TRAPICHE,M-GONZALEZ,,11-07-1940,--,-738920,3173865,Riego                                             -  -,-  -,,"0,590","0,000","0,000","0,000",,Gravedad,"24,000","120,000","410,000","386,000","390,000","11,740",000,-,001,"7,547 -","No, Labio fijo -",,BARRANCO CALLEJON,FIRGAS,LAS PALMAS
,CAMPILLO DE BUITRAGO,,Explotación,ESTADO,J. FDEZ. PUENTE,C,30-09-1969,--,0539483,4631600,Abastecimiento                                    -  - Riego,-  -,,"140,000","230,000","0,000","480,000",,Gravedad,"13,200","87,000","1025,800","1012,600","1018,000","9,740",000,-,001,"480,000 -",Compuertas. -,,DUERO,SORIA Y GARRAY,DUERO
,CAMPOAMENO,,Explotación,JAIME JUAN LASALA PALA,J.M. HACAR,,01-01-1975,--,0227894,4291927,Riego                                             -  -,-  -,,"3,000","0,000","471,000","16,000",,Materiales sueltos núcleo arcilla,"22,000","317,000","317,000","295,000","299,000","76,600",000,-,001,"16,000 -","No, Labio fijo -",,ARROYO DE LA MORA,OLIVA DE MERIDA,GUADIANA
,CANDELARIA,,Explotación,CABILDO DE GRAN CANARIA,ADOLFO CAÑAS BARRERA,,01-01-1969,--,-752548,3164365,Riego                                             -  -,-  -,,"2,580","0,000","0,000","0,000",,Gravedad,"32,000","82,000","920,000","888,000","893,750","26,300",000,-,001,"5,500 -","No, Labio fijo -",,BARRANCO DEL MERINO,ARTENARA,LAS PALMAS
,CANTILLANA,,Explotación,"ENDESA GENERACIÓN, S.A.- U.P.H. SUR",C-MENDOZA Y SAEZ DE A.,C,31-12-1956,--,0252655,4164393,Hidroeléctrico                                    -  - Riego,-  -,,"45000,000","0,000","0,000","8000,000",,Gravedad,"23,000","200,000","23,100","0,100","4,000","27,800",000,-,001,"8000,000 -",Compuertas. -,,GUADALQUIVIR,CANTILLANA,GUADALQUIVIR
,CASAS BLANCAS,,Explotación,CDAD. CASAS BLANCAS,J-OROZCO,,25-04-1944,--,-738610,3175528,Riego                                             -  -,-  -,,"2,700","0,000","0,000","0,000",,Gravedad,"19,400","55,000","240,000","220,600","220,600","13,000",000,-,001,"91,066 -","No, Labio fijo -",,BARRANCO ROSALES,FIRGAS,LAS PALMAS
,CASTREJON,,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,A,31-12-1967,--,0389280,4410440,Hidroeléctrico                                    -  - Riego,-  -,,"24900,000","2744,000","517,000","5100,000",,Materiales sueltos homogenea,"26,000","1336,000","427,000","401,000","408,000","743,000",000,-,001,"5100,000 -",Compuertas. -,,TAJO,"PUEBLA DE MONTALBAN, LA Y POLÁN",TAJO
,CASTREJON / CAÑARES,,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,C,31-12-1967,--,0382105,4411925,Hidroeléctrico                                    -  - Riego,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"19,000","160,000","427,000","408,000","408,000","8,000",000,-,000,-,-,,ARROYO CAÑARES,"PUEBLA DE MONTALBAN, LA",TAJO
,"CASTREJON / CARPIO, EL",,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,C,31-12-1967,--,0376065,4413100,Hidroeléctrico                                    -  - Riego,-  -,,"24900,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"30,000","134,000","427,000","397,000","399,000","25,000",000,-,000,-,-,,ARROYO EL CARPIO,CARPIO DE TAJO,TAJO
,CAZALEGAS,,Explotación,ESTADO,J.A. GALLEGO,A,31-12-1949,--,0354505,4430825,Abastecimiento                                    -  - Riego,-  -,,"3993,000","771,000","545,000","1834,000",,Gravedad y Materiales sueltos homogenea,"16,640","1004,000","385,140","368,500","375,140","30,000",001,"15,000 -",001,"1834,000 -",Compuertas. -,,ALBERCHE,CAZALEGAS-SAN ROMAN,TAJO
,CELEMIN,,Explotación,JUNTA DE ANDALUCÍA,SANTIAGO SERRANO,A,01-01-1972,--,0251076,4021595,Riego                                             -  -,-  -,,"95,000","0,000","0,000","598,000",,Materiales sueltos homogenea,"34,000","430,000","35,000","1,000","9,500","590,000",001,"0,000 -",001,"598,000 -","No, Labio fijo -",,CELEMIN,MEDINA-SIDONIA,C. ATLÁNTICA ANDALUZA
,CELEMIN (ALIVIADERO),,Explotación,JUNTA DE ANDALUCÍA,C. GLEZ-GAGGERO,A,01-01-1974,--,0251076,4021595,Riego                                             -  -,-  -,,"95,000","0,000","0,000","598,000",,Gravedad,"25,000","115,000","35,000","10,000","11,000","33,000",001,"0,000 -",001,"598,000 -","No, Labio fijo -",,CELEMIN,MEDINA-SIDONIA,GUADALQUIVIR
,"CENAJO, EL",,Explotación,ESTADO,R. COUCHOUD SEBASTIA,A,30-06-1960,--,0607142,4247250,Defensa frente a avenidas                         -  - Riego,-  -,,"1273,000","392,000","325,000","950,000",,Gravedad,"102,000","201,000","437,200","335,200","353,000","559,000",001,"104,880 -",001,"838,300 -",Compuertas. -,,SEGURA,MORATALLA,SEGURA
,"CERQUILLA, LA",,Explotación,FRANCA GIORDANO GRADI,M.SILVELA TORDESILLAS,C,31-12-1962,--,0307907,4429641,Riego                                             -  -,-  -,,"39,000","4,000","651,000","39,000",,Gravedad,"5,900","68,220","310,240","304,250","305,370","0,000",001,"1,250 -",002,"36,500 - 2,250",Compuertas. - Compuertas.,,JULIAN (ARROYO DE SAN JULIAN),"CALZADA DE OROPESA, LA",TAJO
,CHAMORISCAN,,Explotación,CDAD. CHAMORISCAN,M-ROMERO TORRENT,,01-07-1965,--,-749220,3142451,Riego                                             -  -,-  -,,"10,390","0,000","0,000","0,000",,Gravedad,"35,000","156,000","260,000","225,000","225,000","25,000",000,-,001,"60,721 -","No, Labio fijo -",,CHAMORISCAN,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,CHARCA DE CABO BLANCO,,Explotación,MARIA BELLO,,,31-12-1940,--,-850134,3181376,Riego                                             -  -,-  -,,"5,250","0,000","0,000","0,000",,Gravedad,"14,000","126,000","230,000","216,000","0,000","11,000",000,-,001,"7,000 -","No, Labio fijo -",,GALLETAS,ARONA,TENERIFE
,CHAYOFA II,,Explotación,AYUNTAMIENTO DE ARONA,,,31-12-1945,--,-852663,3183249,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"15,000","267,000","375,000","360,000","0,000","10,000",000,-,001,"1,000 -","No, Labio fijo -",,SIN RIO,ARONA,TENERIFE
,CHIRA,,Explotación,CABILDO DE GRAN CANARIA,A. CABALLERO RODAS,,01-01-1964,--,-749788,3151973,Riego                                             -  -,-  -,,"10,930","0,000","0,000","0,000",,Gravedad,"32,000","209,600","907,000","875,000","875,000","28,000",000,-,001,"80,796 -","No, Labio fijo -",,CHIRA,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,CIGUAÑA,,Explotación,COMUNIDAD DE REGANTES,C. PEREZ MARTIN,,31-12-1956,--,-843663,3177279,Riego                                             -  -,-  -,,"0,280","0,000","0,000","0,000",,Gravedad,"15,000","122,000","50,000","35,000","0,000","8,000",000,-,001,"12,000 -","No, Labio fijo -",,CIGUAÑA,GRANADILLA DE ABONA,TENERIFE
,CIURANA,,Explotación,ESTADO,A. POL GIMENEZ,A,31-12-1972,--,0828373,4574080,Abastecimiento                                    -  - Riego,-  -,,"60,400","9,320","0,000","443,680",,Gravedad,"62,740","274,400","489,140","426,400","436,570","180,000",001,"28,400 -",001,"443,000 -",Compuertas. -,,CIURANA,CORNUDELLA DE MONTSANT,EBRO
,COLOMERS,,Explotación,GENERALITAT DE CATALUÑA,,,31-12-1967,--,0995605,4676365,Riego                                             -  -,-  -,,"3000,000","919,000","600,000","2000,000",,Presa móvil,"18,000","103,000","30,000","12,000","12,000","20,200",000,-,001,"2210,000 -",Compuertas. -,,TER,COLOMERS,C.I. CATALUÑA
,CORDOBILLA,,Explotación,SEVILLANA DE ELECTRICIDAD,F-BENJUMEA,A,01-01-1953,--,0347701,4135123,Hidroeléctrico                                    -  - Riego,-  -,,"5830,000","525,000","0,000","3000,000",,Gravedad,"45,250","165,000","218,250","173,000","180,050","84,000",001,"16,000 -",001,"3000,000 -",Compuertas. -,,GENIL,PUENTE GENIL,GUADALQUIVIR
,"CORONO, EL",,Explotación,ANTONIO BRIZ GONZALEZ,E. RODRIGUEZ SALINAS,B,01-01-1971,--,0260734,4435578,Riego                                             -  -,-  -,,"4,600","0,000","0,000","20,000",,Materiales sueltos homogenea,"13,300","115,000","493,300","480,000","480,000","29,000",001,"0,600 -",001,"20,000 -","No, Labio fijo -",,ARROYO GODINO,PASARON DE LA VERA,TAJO
,CORTIJO / PANTALEON,,Explotación,E. HERNANDEZ GUERRA,SR. ROMANILLOS,,01-11-1944,--,-738851,3174894,Riego                                             -  -,-  -,,"1,190","0,000","0,000","0,000",,Gravedad,"20,000","50,000","290,000","270,000","270,000","5,000",000,-,001,"5,749 -","No, Labio fijo -",,BARRANCO DOLORES,FIRGAS,LAS PALMAS
,CUBILLAS,,Explotación,ESTADO,M. PRIETO MORENO,A,01-01-1956,--,0439470,4126405,Riego                                             -  -,-  -,,"626,000","68,000","604,000","1200,000",,Materiales sueltos homogenea,"41,600","368,470","647,000","605,400","610,000","594,390",001,"32,000 -",001,"1200,000 -","No, Labio fijo -",,CUBILLAS,"ALBOLOTE, CHAPARRAL",GUADALQUIVIR
,CUEVA DE LAS NIÑAS,,Explotación,CDAD. CUEVA LAS NIÑAS,H-HERNANDEZ,,01-01-1959,--,-752615,3153947,Riego                                             -  -,-  -,,"6,180","0,000","0,000","0,000",,Gravedad,"32,000","130,000","890,000","858,000","858,000","31,360",000,-,001,"18,871 -","No, Labio fijo -",,BARRANCO MAJADA ALTA,TEJEDA,LAS PALMAS
,DOLORES / CASABLANCA,,Explotación,F. GUERRA,P-LEON,,01-03-1947,--,-738396,3176380,Riego                                             -  -,-  -,,"3,190","0,000","0,000","0,000",,Gravedad,"32,000","76,000","185,000","153,000","153,000","6,720",000,-,001,"11,285 -","No, Labio fijo -",,BARRANCO CASAS BLANCAS,FIRGAS,LAS PALMAS
,DRAGUILLO,,Explotación,D.J. LEACOCK,JULIO ALONSO URQUIJO,,01-08-1957,--,-750421,3179597,Riego                                             -  -,-  -,,"0,960","0,000","0,000","0,000",,Gravedad,"20,000","189,000","85,000","65,000","65,000","30,130",000,-,001,"0,406 -","No, Labio fijo -",,BARRANCO DRAGUILLO,GALDAR,LAS PALMAS
,"ENCINILLA, LA",,Explotación,J. BANUS MASDEU,L-SIERRA PIQUERAS,,31-12-1964,--,0406098,4503397,Riego                                             -  -,-  -,,"0,000","0,000","0,000","2,000",,Gravedad,"16,000","92,000","0,000","0,000","0,000","86,000",000,-,001,"2,000 -",Compuertas. -,,ENCINILLA (ARROYO ENCINILLA),GUADARRAMA,TAJO
,ENTREPEÑAS,,Explotación,ESTADO,"B-JIMENEZ, DIAZ AMBRONA",A,01-01-1956,--,0521892,4482747,Hidroeléctrico                                    -  - Riego,-  -,,"4060,000","638,000","597,000","2500,000",,Gravedad,"87,350","383,320","723,250","635,900","644,000","445,930",001,"295,020 -",001,"1500,000 -",Compuertas. -,,TAJO,"SACEDON, AUÑON",TAJO
